School ID,School Name,2016 College Enrollment Rate,Latitude,Longitude
609760,CARVER MILITARY HS,67.3,41.65628995,-87.59062039
609739,WASHINGTON HS,56.7,41.68813694,-87.5375703
609705,FENGER HS,40.6,41.68995073,-87.63757205
609753,CHICAGO AGRICULTURE HS,76.7,41.69122074,-87.71776967
400147,CAMELOT - CHICAGO EXCEL HS,12.5,41.69196931,-87.65372654
609725,MORGAN PARK HS,69.6,41.69203501,-87.66565755
609726,BROOKS HS,89.4,41.69276253,-87.61635261
610567,MAGIC JOHNSON - ROSELAND HS,17.1,41.69515984,-87.64269697
609762,JULIAN HS,49.0,41.70585894,-87.65374921
609761,CORLISS HS,37.5,41.70665962,-87.60121588
400136,YCCS - OLIVE HARVEY,30.0,41.7129221,-87.5923332
609710,HARLAN HS,38.3,41.71837235,-87.62062344
400033,CICS - LONGWOOD,44.8,41.72122143,-87.65576813
400150,YCCS - CHATHAM,12.2,41.73013139,-87.60697991
610581,MAGIC JOHNSON - BRAINERD HS,11.8,41.7314923,-87.66313973
400117,NOBLE - HANSBERRY HS,86.4,41.73444162,-87.65098673
610323,BOWEN HS,43.9,41.73462672,-87.55755003
610557,PATHWAYS - ASHBURN HS,20.6,41.73523902,-87.70406007
609674,CHICAGO VOCATIONAL HS,42.7,41.73717393,-87.57326752
400094,EPIC HS,81.0,41.74484911,-87.55022237
609692,SIMEON HS,61.7,41.74578123,-87.63541037
400062,PERSPECTIVES - TECH HS,68.2,41.74594902,-87.65065702
400061,PERSPECTIVES - LEADERSHIP HS,63.2,41.74596083,-87.65204509
400139,YCCS - SULLIVAN,13.8,41.74628657,-87.57849167
400032,CICS - ELLISON HS,50.6,41.74838241,-87.66897964
609698,BOGAN HS,47.7,41.74937561,-87.72109745
400130,YCCS - YOUTH DEVELOPMENT,25.0,41.75137711,-87.64173119
609712,HIRSCH HS,21.9,41.75374796,-87.60172727
610558,GOODE HS,66.1,41.7537498,-87.70734535
610547,SOUTH SHORE INTL HS,78.4,41.75879166,-87.57635264
400175,CAMELOT - EXCEL SOUTHSHORE HS,9.5,41.75974864,-87.55648708
609745,SOUTHSIDE HS,0.0,41.75985243,-87.67594677
610565,CAMELOT - EXCEL ENGLEWOOD HS,23.1,41.76389597,-87.64912435
400052,NOBLE - COMER,89.5,41.76525228,-87.60416375
400176,CAMELOT - EXCEL SOUTHWEST HS,25.8,41.76592892,-87.69073009
609707,ROBESON HS,44.0,41.7697138,-87.63715272
400115,CATALYST - MARIA,67.4,41.77099172,-87.69307532
400129,YCCS - HOUSTON,17.2,41.77416955,-87.6158421
609711,HARPER HS,41.5,41.77512408,-87.6690893
400077,U OF C - WOODLAWN HS,75.9,41.7781297,-87.59811392
400106,NOBLE - JOHNSON HS,86.8,41.7783695,-87.6351167
609741,HUBBARD HS,57.4,41.78052639,-87.71801374
610506,TEAM HS,40.0,41.7814849,-87.63301879
400086,URBAN PREP - ENGLEWOOD HS,74.8,41.78149782,-87.63435669
610391,LINDBLOM HS,87.9,41.7820408,-87.67166185
609713,HYDE PARK HS,57.6,41.78225693,-87.58661501
610570,OMBUDSMAN - SOUTH HS,23.6,41.78302658,-87.68363453
609718,KENNEDY HS,65.8,41.78996125,-87.78083976
609709,GAGE PARK HS,47.4,41.79101284,-87.68895394
609694,HANCOCK HS,59.5,41.79146391,-87.72447046
609768,HOPE HS,44.2,41.79355347,-87.64124411
610543,SOLORIO HS,60.3,41.79520056,-87.71105882
400010,ACE TECH HS,47.3,41.79612151,-87.62584904
609682,RICHARDS HS,50.7,41.80288138,-87.66227785
609756,CURIE HS,63.0,41.80306021,-87.72204165
610386,PEACE AND EDUCATION HS,17.8,41.80351472,-87.66737777
609746,KENWOOD HS,77.1,41.80377212,-87.59042089
610381,BRONZEVILLE HS,53.7,41.80520417,-87.62500447
610380,WILLIAMS HS,77.4,41.8061176,-87.62502998
609735,TILDEN HS,37.3,41.80751007,-87.64296648
400173,PATHWAYS - BRIGHTON PARK HS,11.8,41.80822579,-87.70264475
400085,UNO - GARCIA HS,66.0,41.80917079,-87.73046685
400137,LITTLE BLACK PEARL HS,32.6,41.8096955,-87.59933994
609751,KING HS,83.4,41.81367545,-87.60387386
609715,KELLY HS,54.0,41.81872906,-87.69463866
609727,PHILLIPS HS,57.3,41.82387997,-87.61979635
400066,PERSPECTIVES - MATH & SCI HS,64.7,41.82778386,-87.62478772
610513,AIR FORCE HS,52.9,41.82814532,-87.63275698
609754,CHICAGO MILITARY HS,49.5,41.83055498,-87.61921554
400105,URBAN PREP - BRONZEVILLE HS,72.7,41.83111753,-87.61362865
400145,YCCS - YOUTH CONNECTION,21.3,41.83207206,-87.62678147
610383,SOCIAL JUSTICE HS,50.8,41.83350728,-87.73529947
610392,WORLD LANGUAGE HS,58.4,41.83439662,-87.73529222
610385,MULTICULTURAL HS,50.9,41.83528187,-87.7352833
610384,INFINITY HS,66.0,41.83616882,-87.73527796
609676,DUNBAR HS,37.7,41.84022557,-87.61763743
400124,YCCS - MCKINLEY,6.1,41.84133117,-87.62533077
609748,YORK HS,6.1,41.84253335,-87.69526102
400087,YOUNG WOMENS HS,71.7,41.84454381,-87.6187238
400104,INSTITUTO - HEALTH,60.4,41.84596659,-87.68724016
610357,SPRY HS,46.2,41.84776169,-87.69894611
609704,FARRAGUT HS,39.8,41.84855987,-87.70870563
609769,GRAHAM HS,10.0,41.84967542,-87.62531482
609764,JUAREZ HS,52.2,41.85267014,-87.66433931
400135,YCCS - LATINO YOUTH,14.3,41.85466466,-87.69543001
